MemberID,MemberName,MemberType,ContactPerson,ContactEmail,Address,State,Zipcode,Phone,TollFree,Fax,Login,pass,Associations,ServiceCountry,Logo,Description,InterstateLicense,USDot,MC,Active,DateAdded,MemberState,CanadianLicense
126,A-Aaron Moving Inc.,transport,Clifford Odets,aaron@movinguwithcare.com,10360 Hwy 70 STE 1,TN,38002,9018673200,73200901862,8673200901,aaron,aaron,,,NoLogo.gif,No description,,,,1,9/26/2007,,
127,DFW Movers & Erectors Inc,standard,Eugene O'Neill,DFW@movinguwithcare.com,1080 Goforth Rd Ste B,TX,78640,5123531076,31076512352,3531076512,DFW,dfw,,,NoLogo.gif,No description,,,,1,11/17/2007,,
128,Quality Moves LLC,full,Anna Deavere Smith,Quality@movinguwithcare.com,1111 Jolie LN,TX,78613,5122660909,60909512262,2660909512,Quality,quality,,,NoLogo.gif,No description,,,,1,1/14/2008,,
129,Two Men and a Truck,standard,Thornton Wilder,two5@movinguwithcare.com,255 South Main St,UT,84041,8017710223,10223801772,7710223801,two5,two5,,,NoLogo.gif,No description,,,,1,2/10/2008,,
130,Low Cost Moving LC,full,Tennessee Williams,Low@movinguwithcare.com,2380 Oakridge Dr,UT,84040,8015464040,64040801542,5464040801,Low,low,,,NoLogo.gif,No description,,,,1,12/18/2007,,
131,Absolute Moving Company Inc.,standard,August Wilson,Absolute@movinguwithcare.com,511 Central Drive Ste. 103,VA,23454,7574868001,68001757482,4868001757,Absolute,absolute,,,NoLogo.gif,No description,,,,1,9/28/2007,,
132,Hilldrup Moving & Storage,full,Lanford Wilson,Hilldrup@movinguwithcare.com,4022 Jeff Davis Highway,VA,22555,7032217155,17155703222,2217155703,Hilldrup,hilldrup,,,NoLogo.gif,No description,,,,1,12/7/2007,,
133,A Friendly Mover Inc.,transport,Maya Angelou,friendly@movinguwithcare.com,320 Cleveland Pl. #A,VA,23462,7574683929,83929757462,4683929757,friendly,friendly,,,NoLogo.gif,No description,,,,1,11/25/2007,,
134,Clark s Moving Services,standard,James Baldwin,Clark@movinguwithcare.com,490 North Main Street,VT,5641,8024763128,63128802472,4763128802,Clark,clark,,,NoLogo.gif,No description,,,,1,11/9/2007,,
135,Crofter Moving and Storage Arcot Company LLC,full,Benjamin Banneker,Crofter@movinguwithcare.com,1279 Coolidge Highway,VT,5301,8007361588,61588800732,7361588800,Crofter,crofter,,,NoLogo.gif,No description,,,,1,11/13/2007,,
136,Booska Trucking,transport,Robert Bly,Booska@movinguwithcare.com,180 Flynn Avenue,VT,5401,8028785344,85344802872,8785344802,Booska,booska,,,NoLogo.gif,No description,,,,1,10/30/2007,,
137,School s Out Solutions Inc.,storage,William Bradford,School@movinguwithcare.com,20 Northshore Drive,VT,5401,8028630383,30383802862,8630383802,School,school,,,NoLogo.gif,No description,,,,1,1/21/2008,,
138,All State Movers,standard,William Byrd,all3@movinguwithcare.com,2600 Thornedyke Ave W,VT,5401,9819923512,23512981992,9923512981,all3,all3,,,NoLogo.gif,No description,,,,1,10/12/2007,,
139,Adams Moving Service & Delivery LLC,standard,Chief Joseph,Adams@movinguwithcare.com,,WA,98155,2062511725,11725206252,2511725206,Adams,adams,,,NoLogo.gif,No description,,,,1,10/3/2007,,
140,Big Als Specialty Movers Inc,full,John Ciardi,Big@movinguwithcare.com,3200 NE 164th ST,WA,98642,3605761988,61988360572,5761988360,Big,big,,,NoLogo.gif,No description,,,,1,10/29/2007,,
141,ABC Kortsch Moving & Storage Co Inc.,standard,Michel-Guillaume Jean de Crevecoeur,ABC@movinguwithcare.com,2403 N. Maryland Ave.,WI,53211,4142769990,69990414272,2769990414,ABC,abc,,,NoLogo.gif,No description,,,,1,9/27/2007,,
142,Ace World Wide Moving and Storage Co. Inc.,full,Countee Cullen,ace2@movinguwithcare.com,1900 E. College Ave.,WI,53110,4147641000,41000414762,7641000414,ace2,ace2,,,NoLogo.gif,No description,,,,1,9/30/2007,,
143,H D L Enterprises Inc.,transport,Joan Didion,hdl@movinguwithcare.com,W4191 State Rd. 11,WI,53121,2627235774,35774262722,7235774262,hdl,hdl,,,NoLogo.gif,No description,,,,1,12/5/2007,,
144,Heusser Heavy Haulers Inc.,storage,Annie Dillard,Heusser@movinguwithcare.com,W3491 Bray Road,WI,53121,2627235058,35058262722,7235058262,Heusser,heusser,,,NoLogo.gif,No description,,,,1,12/6/2007,,
145,O J WHITE TRANSFER & STORAGE,standard,John Dos Passos,white2@movinguwithcare.com,1385 GRAFTON RD,WV,26508,3042918900,18900304292,2918900304,white2,white2,,,NoLogo.gif,No description,,,,1,2/14/2008,,
146,Moving & Storage Connection LLC,standard,Frederick Douglass,Moving@movinguwithcare.com,2129 S Midway Dr,WY,82604,3074725510,25510307472,4725510307,Moving,moving,,,NoLogo.gif,No description,,,,1,12/25/2007,,
